og_s1,og_s2,new_s1,new_s2,og_label,new_label,remarks
The US Senate judiciary committee overcame a significant hurdle yesterday in the battle to create a trust fund to pay victims of asbestos exposure.,The Senate judiciary committee on Tuesday overcame a significant hurdle in the battle to create a trust fund to pay victims of asbestos exposure but the most difficult obstacles remain.,The US Senate judiciary committee overcame a significant hurdle yesterday in the battle to create a trust fund to pay victims of asbestos exposure.,The Senate judiciary committee on Tuesday overcame a significant hurdle in the battle to create a trust fund to pay victims of asbestos exposure but the most difficult obstacles remain.,0,0,no need to correct
"Nordstrom also is expanding its play area in the children's clothes area, adding salt-water fish tanks and activities.","Nordstrom also is expanding its play area in the children’s clothes area, adding salt-water fish tanks and activities for children while their parents shop.","Nordstrom also is expanding its play area in the children's clothes area, adding salt-water fish tanks and activities.","Nordstrom also is expanding its play area in the children’s clothes area, adding salt-water fish tanks and activities for children while their parents shop.",1,1,no need to correct
"In 2002, the West Nile virus infected 4,000 people and took 284 lives in the United States.","In contrast, he said, West Nile virus made 4,156 people ill and killed 284 in the United States and Canada last year.","In 2002, the West Nile virus infected 4,000 people and took 284 lives in the United States.","In contrast, he said, West Nile virus made 4,156 people ill and killed 284 in the United States and Canada last year.",0,0,no need to correct
Activists say they fear the gathering is an attempt by corporate farming to push bio-engineered crops on starving countries.,"Instead, they fear the conference is an attempt by corporate farming and biotech interests to push into new markets.",Activists say they fear the gathering is an attempt by corporate farming to push bio-engineered crops on starving countries.,"Instead, they fear the conference is an attempt by corporate farming and biotech interests to push into new markets.",1,1,no need to correct
"Yesterday, Taiwan reported 35 new infections, bringing the total number of cases to 418.","The island reported another 35 probable cases yesterday, taking its total to 418.","Yesterday, Taiwan reported 35 new infections, bringing the total number of cases to 418.","The island reported another 35 probable cases yesterday, taking its total to 418.",1,0,can't correct
A former employee of a local power company pleaded guilty Wednesday to setting off a bomb that knocked out a power substation during the Winter Olympics last year.,A former Utah Power meter reader pleaded guilty Wednesday to bombing a power substation during the 2002 Winter Olympics.,A former employee of a local power company pleaded guilty Wednesday to setting off a bomb that knocked out a power substation during the Winter Olympics last year.,A former Utah Power meter reader pleaded guilty Wednesday to bombing a power substation during the 2002 Winter Olympics.,1,0,can't correct
"Additionally, early voting will be conducted from 1 to 6 p.m. Sept. 7.",Early voting will run weekdays from 8 a.m. to 5 p.m. through Sept. 9.,"Additionally, early voting will be conducted from 1 to 6 p.m. Sept. 7.",Early voting will run weekdays from 8 a.m. to 5 p.m. through Sept. 9.,1,0,can't correct
"Enron's 401(k) plan covered about 20,000 workers, retirees and beneficiaries.",Enron's stock comprised as much as 61% of the workers' 401(k) portfolios.,"Enron's 401(k) plan covered about 20,000 workers, retirees and beneficiaries.",Enron's stock comprised as much as 61% of the workers' 401(k) portfolios.,0,0,no need to correct
"He said that it would be ""very difficult"" to establish a cause of death.","Even with time, he said, ""it's going to be very difficult to determine the cause of death.""","He said that it would be ""very difficult"" to establish a cause of death.","Even with time, he said, ""it's going to be very difficult to determine the cause of death.""",1,1,no need to correct
Webster Police Chief Gerald Pickering said the victims appeared to be customers of the bank.,"One of the shooting victims died, according to Webster Police Chief Gerald Pickering.",Webster Police Chief Gerald Pickering said the victims appeared to be customers of the bank.,"One of the shooting victims died, according to Webster Police Chief Gerald Pickering.",0,0,no need to correct
He said the situation undermines efforts to win international co-operation in the war on terror.,He said the way the situation was being handled was undermining efforts to win international cooperation in the war on terror.,He said the situation undermines efforts to win international co-operation in the war on terror.,He said the way the situation was being handled was undermining efforts to win international cooperation in the war on terror.,1,1,no need to correct
"Once identified, remains of terrorists are immediately removed from the so-called memorial park, a temporary refrigerated storage facility on Manhattan.","Once identified, terrorist remains are immediately removed from the so-called memorial park, a temporary refrigerated storage facility on Manhattan where the unidentified remains are stored.","Once identified, remains of terrorists are immediately removed from the so-called memorial park, a temporary refrigerated storage facility on Manhattan.","Once identified, terrorist remains are immediately removed from the so-called memorial park, a temporary refrigerated storage facility on Manhattan where the unidentified remains are stored.",1,1,no need to correct
It’s just another example of the global war on terrorism and why this is going to be a long effort”.,"It's just another example of the global war on terrorism and why this is going to be a long effort.""",It’s just another example of the global war on terrorism and why this is going to be a long effort”.,"It's just another example of the global war on terrorism and why this is going to be a long effort.""",1,1,no need to correct
"Some 50 million phone numbers are registered on the list, which was to take effect Oct. 1.","The FTC signed up 50 million phone numbers for the list, which was due to go into effect October 1.","Some 50 million phone numbers are registered on the list, which was to take effect Oct. 1.","The FTC signed up 50 million phone numbers for the list, which was due to go into effect October 1.",1,0,can't correct
"By comparison, the proportion of people with a BMI of 50 or above increased by a factor of five — from about 1 in 2,000 to one in 400.","Those with a BMI of 50 or greater, sometimes called super obesity, increased by a factor of five, from one in 2,000 to one in 400.","By comparison, the proportion of people with a BMI of 50 or above increased by a factor of five — from about 1 in 2,000 to one in 400.","Those with a BMI of 50 or greater, sometimes called super obesity, increased by a factor of five, from one in 2,000 to one in 400.",1,0,can't correct
"""We will clearly modify some features of our plans as well as their administration,"" Reed said in a letter to the NYSE's 1,366 members.","""We will clearly modify some features of our plans as well as their administration,"" Reed said in his letter.","""We will clearly modify some features of our plans as well as their administration,"" Reed said in a letter to the NYSE's 1,366 members.","""We will clearly modify some features of our plans as well as their administration,"" Reed said in his letter.",1,0,can't correct
"Plants still must abide by state and federal air-pollution laws, so there will not be an increase in smog, the administration argues.","Plants still must abide by state and federal air-pollution laws, so there won't necessarily be any increase in pollution, the administration argues.","Plants still must abide by state and federal air-pollution laws, so there will not be an increase in smog, the administration argues.","Plants still must abide by state and federal air-pollution laws, so there won't necessarily be any increase in pollution, the administration argues.",1,1,no need to correct
"""The fire calmed down considerably overnight, then it rained,"" said Andy Lyon, spokesman for the fire south of the city.","""The fire calmed down considerably overnight, then it rained,"" said Andy Lyon, spokesman for the Douglas County fire command center.","""The fire calmed down considerably overnight, then it rained,"" said Andy Lyon, spokesman for the fire south of the city.","""The fire calmed down considerably overnight, then it rained,"" said Andy Lyon, spokesman for the Douglas County fire command center.",1,0,can't correct
"Earlier this month, Bremer called off a visit here, a move officials privately linked to U.S. uncertainty about the Kurdish issue.","Earlier this month, Mr. Bremer called off a visit, in a move that officials confided at the time was linked to uncertainty on the Kurdish situation.","Earlier this month, Bremer called off a visit here, a move officials privately linked to U.S. uncertainty about the Kurdish issue.","Earlier this month, Mr. Bremer called off a visit, in a move that officials confided at the time was linked to uncertainty on the Kurdish situation.",1,0,can't correct
"The news will be announced Monday morning in Dallas at Tech Ed 2003 during a keynote by Paul Flessner, senior vice president of Microsoft's Server Platform Division.","The plan is expected be disclosed Monday morning at Tech Ed 2003 during a keynote by Paul Flessner, senior vice president of Microsoft's Server Platform Division.","The news will be announced Monday morning in Dallas at Tech Ed 2003 during a keynote by Paul Flessner, senior vice president of Microsoft's Server Platform Division.","The plan is expected be disclosed Monday morning at Tech Ed 2003 during a keynote by Paul Flessner, senior vice president of Microsoft's Server Platform Division.",1,0,can't correct
The Taiwan Stock Exchange will ask the Securities and Futures Commission (SFC) to suspend trading in Mosel shares.,A request for a two-month extension was denied and the Taiwan Stock Exchange is to ask the Securities and Futures Commission (SFC) to suspend trading in Mosel shares.,The Taiwan Stock Exchange will ask the Securities and Futures Commission (SFC) to suspend trading in Mosel shares.,A request for a two-month extension was denied and the Taiwan Stock Exchange is to ask the Securities and Futures Commission (SFC) to suspend trading in Mosel shares.,0,0,no need to correct
"All three had criminal records for stealing cattle, the statement said.",It said they all had criminal records for stealing cattle and Lamas was twice imprisoned for armed robbery.,"All three had criminal records for stealing cattle, the statement said.",It said they all had criminal records for stealing cattle and Lamas was twice imprisoned for armed robbery.,0,0,no need to correct
Auditors acknowledged the auditors did not look at priests' personnel files.,"The auditors, for example, did not have access to church personnel files.",Auditors acknowledged the auditors did not look at priests' personnel files.,"The auditors, for example, did not have access to church personnel files.",1,1,no need to correct
Thyroid hormones are known to help in weight loss by stimulating metabolism - and cutting cholesterol - but come with the unwanted side effect of speeding up the heartbeat.,"Thyroid hormones are known to help in weight loss by stimulating metabolism, and they can help cut cholesterol too.",Thyroid hormones are known to help in weight loss by stimulating metabolism - and cutting cholesterol - but come with the unwanted side effect of speeding up the heartbeat.,"Thyroid hormones are known to help in weight loss by stimulating metabolism, and they can help cut cholesterol too.",0,0,no need to correct
But U.S. troops will not shrink from mounting raids and attacking their foes when their locations can be pinpointed.,But American troops will not shrink from mounting raids in the locations of their foes that can be pinpointed.,But U.S. troops will not shrink from mounting raids and attacking their foes when their locations can be pinpointed.,But American troops will not shrink from mounting raids in the locations of their foes that can be pinpointed.,1,0,can't correct
"Responding to speculation that she was ready to retire, Justice Sandra Day O'Connor indicated today that she would serve out the next term of the Supreme Court.","Justice Sandra Day O'Connor said today that she would serve out the next term of the Supreme Court, dismissing speculation that she was ready to retire.","Responding to speculation that she was ready to retire, Justice Sandra Day O'Connor indicated today that she would serve out the next term of the Supreme Court.","Justice Sandra Day O'Connor said today that she would serve out the next term of the Supreme Court, dismissing speculation that she was ready to retire.",1,1,no need to correct
"""We are in the process of a thorough internal review with the assistance of outside professionals,"" she said in the statement.","Strong Financial released a statement Wednesday night: ""We are in the process of a thorough internal review.","""We are in the process of a thorough internal review with the assistance of outside professionals,"" she said in the statement.","Strong Financial released a statement Wednesday night: ""We are in the process of a thorough internal review.",1,0,can't correct
"Senator Hill appeared completely unaware of the issue, which has been of serious concern to US, Australian and British intelligence officers.","But Senator Hill appeared unaware of the intelligence problems that have been of serious concern to US, Australian and British military intelligence officers.","Senator Hill appeared completely unaware of the issue, which has been of serious concern to US, Australian and British intelligence officers.","But Senator Hill appeared unaware of the intelligence problems that have been of serious concern to US, Australian and British military intelligence officers.",1,1,no need to correct
"Judge Craig Doran said it wasn't his role to determine if Hovan was ""an evil man"" but maintained that ""he has committed an evil act.""","Judge Craig Doran said he couldn't determine if Hovan was ""an evil man"" but said he ""has committed an evil act.""","Judge Craig Doran said it wasn't his role to determine if Hovan was ""an evil man"" but maintained that ""he has committed an evil act.""","Judge Craig Doran said he couldn't determine if Hovan was ""an evil man"" but said he ""has committed an evil act.""",1,0,can't correct
"In its quarter ended May 30, Adobe earned $64.25 million, or 27 cents a share.","That was up from the year-ago quarter, when the company earned $54.3 million, or 22 cents a share.","In its quarter ended May 30, Adobe earned $64.25 million, or 27 cents a share.","That was up from the year-ago quarter, when the company earned $54.3 million, or 22 cents a share.",0,0,no need to correct
Doctors have speculated that the body's own estrogen protects against cell damage and improves blood flow.,Their belief was based on speculation that estrogen prevents cell damage and improves blood flow.,Doctors have speculated that the body's own estrogen protects against cell damage and improves blood flow.,Their belief was based on speculation that estrogen prevents cell damage and improves blood flow.,1,1,no need to correct
Officials said one provision in the Senate-passed measure accounted for $40 billion over 10 years in the CBO calculation.,The budget office said one provision of the Senate bill accounted for $40 billion of the cost.,Officials said one provision in the Senate-passed measure accounted for $40 billion over 10 years in the CBO calculation.,The budget office said one provision of the Senate bill accounted for $40 billion of the cost.,1,0,can't correct
"Indeed, prior defense filings said Moussaoui contended he was part of a post-Sept. 11 operation outside the United States.",Previous defense filings said Moussaoui was to be part of an operation outside the United States.,"Indeed, prior defense filings said Moussaoui contended he was part of a post-Sept. 11 operation outside the United States.",Previous defense filings said Moussaoui was to be part of an operation outside the United States.,1,0,can't correct
Telemarketers argue that there is no logical link between the registry's limited scope and advancing that interest.,Lawyers for the telemarketers said there was no logical connection between the registry's limited scope and advancing that interest.,Telemarketers argue that there is no logical link between the registry's limited scope and advancing that interest.,Lawyers for the telemarketers said there was no logical connection between the registry's limited scope and advancing that interest.,1,1,no need to correct
"I thought things went a bit overboard but I prefer to leave it on the field,"" Sarwan said.","""A lot of things (were said), but I'd prefer to leave it on the field,"" he said.","I thought things went a bit overboard but I prefer to leave it on the field,"" Sarwan said.","""A lot of things (were said), but I'd prefer to leave it on the field,"" he said.",0,0,no need to correct
The North Shore Long Island Jewish Health System in New York announced plans for a tissue bank this month.,North Shore-Long Island Jewish Health System announced plans for a tissue bank earlier this month.,The North Shore Long Island Jewish Health System in New York announced plans for a tissue bank this month.,North Shore-Long Island Jewish Health System announced plans for a tissue bank earlier this month.,1,0,can't correct
"The tone was set by President Hu, the 60-year-old who became the Communist Partys general secretary in November last year and then the countrys president in March this year.","The tone was set by Hu, 60, who became the Communist Party's general secretary last November and then the country's president this March.","The tone was set by President Hu, the 60-year-old who became the Communist Partys general secretary in November last year and then the countrys president in March this year.","The tone was set by Hu, 60, who became the Communist Party's general secretary last November and then the country's president this March.",1,0,can't correct
The United States only agreed to let the agency back into Iraq after repeated warnings by IAEA chief Mohamed ElBaradei.,Washington only agreed to let the U.N. mission into Iraq after repeated warnings by IAEA chief Mohamed ElBaradei.,The United States only agreed to let the agency back into Iraq after repeated warnings by IAEA chief Mohamed ElBaradei.,Washington only agreed to let the U.N. mission into Iraq after repeated warnings by IAEA chief Mohamed ElBaradei.,1,0,can't correct
"After that process is completed, it will take an additional six to eight months to refurbish the center, Day said.","After that, it will take six to eight months more to refurbish the center, said Thomas Day, vice president of engineering for the Postal Service.","After that process is completed, it will take an additional six to eight months to refurbish the center, Day said.","After that, it will take six to eight months more to refurbish the center, said Thomas Day, vice president of engineering for the Postal Service.",1,0,can't correct
"Sentenced to 20 years to life, she was granted parole last month despite the opposition of relatives, friends and colleagues of the slain men.","Boudin, 60, a former Weather Underground member, was granted parole last month despite heavy opposition by relatives, friends, and colleagues of the slain men.","Sentenced to 20 years to life, she was granted parole last month despite the opposition of relatives, friends and colleagues of the slain men.","Boudin, 60, a former Weather Underground member, was granted parole last month despite heavy opposition by relatives, friends, and colleagues of the slain men.",0,0,no need to correct
"The Hartford shares rose $2.88, or 6.6 percent, to close Monday at $46.50 on the New York Stock Exchange.",Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.,"The Hartford shares rose $2.88, or 6.6 percent, to close Monday at $46.50 on the New York Stock Exchange.",Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.,0,0,no need to correct
"Smith said simply ""Oh, my God,"" in the seconds afterward, according to Weinshall.","In the seconds after the crash, she added, Captain Smith said simply, ""Oh my God.""","Smith said simply ""Oh, my God,"" in the seconds afterward, according to Weinshall.","In the seconds after the crash, she added, Captain Smith said simply, ""Oh my God.""",1,0,can't correct
"Appellate courts across the country have issued differing rulings on the issue, allowing public displays of the Ten Commandments in some cases and banning them in others.","Lower courts have splintered on the issue, allowing depictions of the Ten Commandments in some instances and not in others.","Appellate courts across the country have issued differing rulings on the issue, allowing public displays of the Ten Commandments in some cases and banning them in others.","Lower courts have splintered on the issue, allowing depictions of the Ten Commandments in some instances and not in others.",1,0,can't correct
The acquisition is expected to close by the end of the month.,The deal is expected to close later this month.,The acquisition is expected to close by the end of the month.,The deal is expected to close end of the month.,1,1,corrected
The acquisition is expected to close by the end of the month.,The deal is expected to close later this month.,The acquisition is expected to close by the later this month.,The deal is expected to close later this month.,1,1,corrected
"An evaluation suggested there was no overall net clinical benefit in patients receiving the drug in the study, the companies said in a statement distributed by Business Wire.","An evaluation of 240 arthritis patients suggested there was no overall net clinical benefit from taking the medicine, the companies said in a statement distributed by Business Wire.","An evaluation suggested there was no overall net clinical benefit in patients receiving the drug in the study, the companies said in a statement distributed by Business Wire.","An evaluation of 240 arthritis patients suggested there was no overall net clinical benefit from taking the medicine, the companies said in a statement distributed by Business Wire.",1,0,can't correct
It also offers a built-in NAND flash boot loader so that high-density NAND flash memory can be used without having to install an additional support chip.,"The S3C2440 has a built-in NAND flash boot loader, for example, so that high-density NAND flash memory can be installed without an additional support chip.",It also offers a built-in NAND flash boot loader so that high-density NAND flash memory can be used without having to install an additional support chip.,"The S3C2440 has a built-in NAND flash boot loader, for example, so that high-density NAND flash memory can be installed without an additional support chip.",1,0,can't correct
Meat giant Smithfield Foods Inc. has won a bidding war to buy a bankrupt Midwestern pork producer.,Pork processing giant Smithfield Foods Inc. said Monday that it won the bidding in an auction for bankrupt Farmland Industries Inc.'s pork business.,Meat giant Smithfield Foods Inc. has won a bidding war to buy a bankrupt Midwestern pork producer.,Pork processing giant Smithfield Foods Inc. said Monday that it won the bidding in an auction for bankrupt Farmland Industries Inc.'s pork business.,1,0,can't correct
"Energy prices dropped by 8.6 percent, the biggest decline since July 1986.","Excluding food and energy prices, the PPI fell 0.9 per cent, the biggest drop since August 1993.","Energy prices dropped by 8.6 percent, the biggest decline since July 1986.","Excluding food and energy prices, the PPI fell 0.9 per cent, the biggest drop since August 1993.",0,0,no need to correct
"Authorities said the informant, an inmate named Richard Powell who is imprisoned for killing his landlady in 1982, led a team to the spot.","Authorities identified the tipster as Richard Powell, who is imprisoned for killing his landlady in 1982.","Authorities said the informant, an inmate named Richard Powell who is imprisoned for killing his landlady in 1982, led a team to the spot.","Authorities identified the tipster as Richard Powell, who is imprisoned for killing his landlady in 1982.",0,0,no need to correct
More than 100 officers launched the raids in the final phase of a two-year operation investigating a cocaine import and money laundering ring.,More than 100 police officers were involved in the busts that were the culmination of a two-year operation investigating the cocaine importing and money laundering gang.,More than 100 officers launched the raids in the final phase of a two-year operation investigating a cocaine import and money laundering ring.,More than 100 police officers were involved in the busts that were the culmination of a two-year operation investigating the cocaine importing and money laundering gang.,1,1,no need to correct
"She said she told O'Donnell, ""Your mother died of breast cancer.","Spengler replied, ""Didn't your mother die of breast cancer?","She said she told O'Donnell, ""Your mother died of breast cancer.","Spengler replied, ""Didn't your mother die of breast cancer?",0,0,no need to correct
October gasoline prices settled 1.47 cents lower at 78.70 cents a gallon.,October heating oil ended down 0.41 cent to 70.74 cents a gallon.,October gasoline prices settled 1.47 cents lower at 78.70 cents a gallon.,October heating oil ended down 0.41 cent to 70.74 cents a gallon.,1,0,can't correct
The group expects to roll out the first products by the second half of 2004.,The new group ambitiously expects to issue guidelines by the end of the year and release products by late 2004.,The group expects to roll out the first products by the second half of 2004.,The new group ambitiously expects to issue guidelines by the end of the year and release products by late 2004.,0,0,no need to correct
"It decided instead to issue them before the stock market opened Monday after the downgrade of its debt late Friday by Moody's, the credit rating agency.",It decided instead to issue them before the stock market opened Monday to counteract the downgrade of its debt late Friday by Moody's to one step above junk status.,"It decided instead to issue them before the stock market opened Monday after the downgrade of its debt late Friday by Moody's, the credit rating agency.",It decided instead to issue them before the stock market opened Monday to counteract the downgrade of its debt late Friday by Moody's to one step above junk status.,0,0,no need to correct
The benchmark 10-year note US10YT=RR rose 11/32 for a yield of 3.25 percent.,The benchmark 10-year Bund yield was down 5.2 basis points at 3.60 percent.,The benchmark 10-year note US10YT=RR rose 11/32 for a yield of 3.25 percent.,The benchmark 10-year Bund yield was down 5.2 basis points at 3.60 percent.,0,0,no need to correct
"""We don't have new places to check,"" said Steve Anderson, a Waco public-information officer.","""We don't have new places to check,"" Waco public information officer Steve Anderson said.","""We don't have new places to check,"" said Steve Anderson, a Waco public-information officer.","""We don't have new places to check,"" Waco public information officer Steve Anderson said.",1,1,no need to correct
"""It's a terrible tragedy, people who were on the way home, all of a sudden, taken from us,"" Bloomberg said at a dockside news conference.","""People who were on their way home, all of a sudden taken from us,"" Mr. Bloomberg said of the collision.","""It's a terrible tragedy, people who were on the way home, all of a sudden, taken from us,"" Bloomberg said at a dockside news conference.","""People who were on their way home, all of a sudden taken from us,"" Mr. Bloomberg said of the collision.",1,1,no need to correct
"""It seems to be following the sun,"" said Graham Cluley, senior technology consultant at antivirus vendor Sophos.","""This is a clear attempt to pinch money,"" said Graham Cluley, senior technology consultant with U.K.-based Sophos PLC.","""It seems to be following the sun,"" said Graham Cluley, senior technology consultant at antivirus vendor Sophos.","""This is a clear attempt to pinch money,"" said Graham Cluley, senior technology consultant with U.K.-based Sophos PLC.",0,0,no need to correct
"Moose frequently criticizes reporters and news organizations in the book, especially those that reported on leaks from investigators.","He frequently criticizes the press, especially reporters and news organizations that reported on leaks from investigators.","Moose frequently criticizes reporters and news organizations in the book, especially those that reported on leaks from investigators.","He frequently criticizes the press, especially reporters and news organizations that reported on leaks from investigators.",1,0,can't correct
The indictment charges that Mzoudi was involved in preparations for the attack until the end and was aware of and supported the attackers' violent goals.,Prosecutors say Mzoudi was involved in the preparations for the attack until the final moment and that he was aware of and supported the attackers' violent goals.,The indictment charges that Mzoudi was involved in preparations for the attack until the end and was aware of and supported the attackers' violent goals.,Prosecutors say Mzoudi was involved in the preparations for the attack until the final moment and that he was aware of and supported the attackers' violent goals.,1,1,no need to correct
Altria shares fell 2.5 percent or $1.11 to $42.57 and were the Dow's biggest percentage loser.,"Its shares fell $9.61 to $50.26, ranking as the NYSE's most-active issue and its biggest percentage loser.",Altria shares fell 2.5 percent or $1.11 to $42.57 and were the Dow's biggest percentage loser.,"Its shares fell $9.61 to $50.26, ranking as the NYSE's most-active issue and its biggest percentage loser.",0,0,no need to correct
"SEC Chairman William Donaldson said there is a ""building confidence out there that the cop is on the beat.""","""I think there's a building confidence that the cop is on the beat.""","SEC Chairman William Donaldson said there is a ""building confidence out there that the cop is on the beat.""","""I think there's a building confidence that the cop is on the beat.""",1,0,can't correct
"A nationally board certified teacher with a master's degree, Kelley, in his 30th year teaching, makes $65,000.","A nationally board-certified teacher with a master's degree, Kelley makes $65,000 in his 30th year.","A nationally board certified teacher with a master's degree, Kelley, in his 30th year teaching, makes $65,000.","A nationally board-certified teacher with a master's degree, Kelley makes $65,000 in his 30th year.",1,1,no need to correct
Prosecutor Jim Hardin called the decision a victory for Kathleen Peterson's family.,Members of Kathleen Peterson's family were not present.,Prosecutor Jim Hardin called the decision a victory for Kathleen Peterson's family.,Members of Kathleen Peterson's family were not present.,0,0,no need to correct
"Called ""Taxpayers Against the Recall,"" it was to be launched Wednesday afternoon outside a Sacramento fire station.","The new effort, Taxpayers Against the Recall, will be formally launched today outside a Sacramento fire station.","Called ""Taxpayers Against the Recall,"" it was to be launched Wednesday afternoon outside a Sacramento fire station.","The new effort, Taxpayers Against the Recall, will be formally launched today outside a Sacramento fire station.",1,0,can't correct
Justice Anthony M. Kennedy dissented in an opinion joined by Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas.,He was joined by Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas.,Justice Anthony M. Kennedy dissented in an opinion joined by Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas.,He was joined by Chief Justice William H. Rehnquist and Justices Antonin Scalia and Clarence Thomas.,1,0,can't correct
"The staged scene, covering several acres, featured smashed cars and buses, ruined buildings, scattered debris and spot fires.","Smashed cars and buses, ruined buildings, scattered debris and spot fires added to the realism.","The staged scene, covering several acres, featured smashed cars and buses, ruined buildings, scattered debris and spot fires.","Smashed cars and buses, ruined buildings, scattered debris and spot fires added to the realism.",0,0,no need to correct
The findings were published in the July 1 issue of the Annals of Internal Medicine.,The findings are being published today in the Annals of Internal Medicine.,The findings were published in the July 1 issue of the Annals of Internal Medicine.,The findings are being published today in the Annals of Internal Medicine.,1,0,can't correct
All five suspects were charged with robbery and criminal impersonation of a police officer.,"The teens are being held on charges of robbery and criminal impersonation of a police officer, sources said.",All five suspects were charged with robbery and criminal impersonation of a police officer.,"The teens are being held on charges of robbery and criminal impersonation of a police officer, sources said.",1,0,can't correct
"SCO net income of $4.5 million, or 33 cents per share, on revenue of $21.4 million, in 2003's second fiscal quarter, ended April 30.","In the first quarter, SCO had reported a net loss of $724,000, or 6 cents per diluted share, on revenue of $13.5 million.","SCO net income of $4.5 million, or 33 cents per share, on revenue of $21.4 million, in 2003's second fiscal quarter, ended April 30.","In the first quarter, SCO had reported a net loss of $724,000, or 6 cents per diluted share, on revenue of $13.5 million.",0,0,no need to correct
No rabies vaccine is available for humans in Zimbabwe and if it was it would be too expensive for most bitten by infected dogs.,"Health professionals say there is no rabies vaccine for humans in Zimbabwe and, even if it was available, it is too expensive for most bitten by infected dogs.",No rabies vaccine is available for humans in Zimbabwe and if it was it would be too expensive for most bitten by infected dogs.,"Health professionals say there is no rabies vaccine for humans in Zimbabwe and, even if it was available, it is too expensive for most bitten by infected dogs.",1,1,no need to correct
ODonnell was just 3-of-5 for 24 yards and no touchdowns or interceptions a year ago.,"The 13-year veteran has passed for 21,438 yards and 118 touchdowns with 67 interceptions.",ODonnell was just 3-of-5 for 24 yards and no touchdowns or interceptions a year ago.,"The 13-year veteran has passed for 21,438 yards and 118 touchdowns with 67 interceptions.",0,0,no need to correct
"India blamed that and other attacks on Pakistan-based militants fighting Indian rule in Kashmir, its only Muslim-majority state.","India has also in the past blamed Pakistan-based militants fighting Indian rule in Kashmir, its only Muslim-majority state, for bombs and other attacks.","India blamed that and other attacks on Pakistan-based militants fighting Indian rule in Kashmir, its only Muslim-majority state.","India has also in the past blamed Pakistan-based militants fighting Indian rule in Kashmir, its only Muslim-majority state, for bombs and other attacks.",1,1,no need to correct
"However, several ministers from more developed APEC economies have said failure to fight terror will be a cost in itself.",More developed APEC members say failure to fight terror will be a cost in itself.,"However, several ministers from more developed APEC economies have said failure to fight terror will be a cost in itself.",More developed APEC members say failure to fight terror will be a cost in itself.,1,1,no need to correct
She was persuaded not to resign but she was expected to be the victim of a forthcoming ministerial reshuffle.,But she was expected to be a victim in a forthcoming ministerial reshuffle.,She was persuaded not to resign but she was expected to be the victim of a forthcoming ministerial reshuffle.,But she was expected to be a victim in a forthcoming ministerial reshuffle.,0,0,no need to correct
Prime Minister Junichiro Koizumi must be counting his lucky stars.,Prime Minister Junichiro Koizumi has all but popped the champagne bottle.,Prime Minister Junichiro Koizumi must be counting his lucky stars.,Prime Minister Junichiro Koizumi has all but popped the champagne bottle.,1,1,no need to correct
"""This legislation benefits the entire state of Illinois, every town, every city, every citizen,"" Blagojevich told the crowd of political heavyweights at O'Hare.","""The legislation I'm proud to sign today benefits the entire state of Illinois, every town, every city, every citizen.","""This legislation benefits the entire state of Illinois, every town, every city, every citizen,"" Blagojevich told the crowd of political heavyweights at O'Hare.","""The legislation I'm proud to sign today benefits the entire state of Illinois, every town, every city, every citizen.",1,0,can't correct
"It will be followed in November by a third movie, ""The Matrix Revolutions.""","The film is the second of a trilogy, which will wrap up in November with ""The Matrix Revolutions.""","It will be followed in November by a second movie, ""The Matrix Revolutions.""","The film is the second of a trilogy, which will wrap up in November with ""The Matrix Revolutions.""",1,1,corrected
"It will be followed in November by a third movie, ""The Matrix Revolutions.""","The film is the second of a trilogy, which will wrap up in November with ""The Matrix Revolutions.""","It will be followed in November by a third movie, ""The Matrix Revolutions.""","The film is the third of a trilogy, which will wrap up in November with ""The Matrix Revolutions.""",1,1,corrected
"Malpractice victims say limits on damage payouts make it less likely lawyers will take cases, meaning access to justice could be denied.","Limits on damages make it less likely lawyers will take expensive cases, meaning access to justice is denied, they say.","Malpractice victims say limits on damage payouts make it less likely lawyers will take cases, meaning access to justice could be denied.","Limits on damages make it less likely lawyers will take expensive cases, meaning access to justice is denied, they say.",1,1,no need to correct
Schools that fail to meet state goals for three years in a row must offer tutoring in addition to transfers.,Schools that don't meet the testing goals for two years in a row must offer transfers.,Schools that fail to meet state goals for three years in a row must offer tutoring in addition to transfers.,Schools that don't meet the testing goals for two years in a row must offer transfers.,0,0,no need to correct
"But butterflies exposed to an earlier light cycle, from 1am to 1pm, orientated themselves towards the south-east.","But butterflies housed under an earlier light cycle, 1 a.m. to 1 p.m., flew toward the southeast.","But butterflies exposed to an earlier light cycle, from 1am to 1pm, orientated themselves towards the south-east.","But butterflies housed under an earlier light cycle, 1 a.m. to 1 p.m., flew toward the southeast.",1,0,can't correct
